meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-114.2500,0.0000,-10.2500,0.0000,-541.0652,0.9986,0,8,5,83000.0000,1
-115.9167,1.0139,-10.5833,0.0139,-529.8804,0.2500,1,8,5,83000.0000,1
-115.2500,0.0000,-10.2500,0.0000,-507.5108,0.8333,0,8,5,83000.0000,1
-114.9167,1.5556,-10.9167,0.8889,-535.4728,0.0000,0,8,5,83000.0000,1
-114.1250,0.5469,-10.3750,0.1719,-543.1624,0.0000,0,8,5,83000.0000,1
-115.7500,0.0000,-10.7500,0.0000,-515.8994,0.7500,1,8,5,83000.0000,1

-112.6105,0.0,8.7968,0.0,2474.2622,1.0,1669,8,5,0.0,1
-118.6165,1.4099,7.6862,0.3504,-560.107,0.7252,26,8,5,83000.0,1
-115.6341,0.0,6.6803,0.0,2240.0621,1.0,852,8,5,0.0,1
-115.846,1.6368,7.8199,0.6777,2576.8639,0.2816,974,8,5,0.0,1
-114.3007,1.6349,9.4489,0.0606,2726.8417,0.3545,1363,8,5,0.0,1
-118.0909,0.0,6.4932,0.0,2396.4474,1.0,1413,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-116.1773,0.6181,4.8143,0.9674,-546.8373,0.541,85,8,5,83000.0,1
-113.8998,1.6596,6.6351,0.886,2437.3549,0.9092,486,8,5,0.0,1
-116.2181,0.0,9.8641,0.0,2242.7642,1.0,784,8,5,0.0,1
-113.3317,0.9659,-3.7874,0.7501,-537.0719,0.9986,30,8,5,83000.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-113.699,1.0887,7.9512,1.1087,-506.9053,0.3526,108,8,5,83000.0,1
-118.9267,1.3485,3.1357,1.4999,-630.0079,0.6376,104,8,5,83000.0,1
-116.0682,0.0,8.8774,0.0,2313.1271,1.0,945,8,5,0.0,1
-118.5314,1.7349,4.6188,1.0684,-687.1542,0.4557,74,8,5,83000.0,1
-111.4964,1.4473,7.7787,0.1037,2432.7934,0.6588,1162,8,5,0.0,1
-112.799,0.0776,3.2818,0.3935,-532.1542,0.616,35,8,5,83000.0,1
-111.8591,0.6238,6.3403,0.1888,2712.0465,0.8515,837,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-117.99,0.0,7.4397,0.0,2333.5834,1.0,1038,8,5,0.0,1
-112.5012,0.0,8.5343,0.0,2217.2906,1.0,755,8,5,0.0,1
-116.3726,0.0,8.6968,0.0,2487.8996,1.0,1349,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-113.2585,1.3456,8.8501,1.1099,-540.0264,0.8234,67,8,5,83000.0,1
-114.2186,0.3704,-8.4418,20.5017,-518.5835,0.9375,0,8,5,83000.0,1
-115.147,0.5451,-6.4735,27.9994,-536.1533,0.9375,0,8,5,83000.0,1
